article_id,published_date,publisher,linked_ticker_count,linked_tickers,stratum,title,summary,classification_status,is_relevant,relevance_type,primary_company,primary_industry,event_type,target_company_sentiment,news_scope,expected_competitor_effect,materiality,confidence,reasoning_short,model,estimated_cost_usd,classified_at
c68c10a5ddbccded1d15ce3dea977b997b96c4138a7f02ccefbc3b918be431d5,2025-08-14,Yahoo,1,DAL,airlines_travel__analyst_or_earnings,ZTO Gears Up to Report Q2 Earnings: Here's What You Should Know,ZTO eyes strong parcel volume growth for Q2 despite freight forwarding weakness and trade woes.,success,false,not_relevant,unclear,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,0.0,4.0,"The article is about ZTO, a parcel/logistics company, and does not have a clear economic link to DAL or the airlines/travel sector.",gpt-5.4-mini,0.0,2026-06-21T21:17:09+00:00
acdb17557c563593c7f0b57b03ddb0fbcfd6dfce1eae8d6717f16e62e4659cfb,2025-09-12,Yahoo,1,DAL,airlines_travel__analyst_or_earnings,Why Investors Need to Take Advantage of These 2 Transportation Stocks Now,Why investors should use the Zacks Earnings ESP tool to help find stocks that are poised to top quarterly earnings estimates.,success,false,not_relevant,unclear,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,0.0,5.0,"This is generic investing advice about an earnings tool, not economically meaningful news about Delta or its industry.",gpt-5.4-mini,0.0,2026-06-21T21:17:08+00:00
fcc3327ec7b51a2e632a13f3cf0d9a78144031c7cd6a5e50b9fc8d87aa70eab6,2025-11-06,Benzinga,1,UAL,airlines_travel__analyst_or_earnings,"Lyft Remains A 'Show-Me' Story, Analysts Press For Execution","Lyft (LYFT) posts strong Q3 results, beats EPS, misses on revenue. JPM raises price forecast to $22 from $16, maintains Neutral rating.",success,false,not_relevant,unclear,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,0.0,4.0,"The article is about Lyft, which is not economically linked to the airline ticker provided.",gpt-5.4-mini,0.0,2026-06-21T21:17:10+00:00
5f99d06247315e2f10af8dc659b73f4f83c96f00f389d52474012b1e04741ddb,2025-11-26,Yahoo,1,DAL,airlines_travel__macro_policy,"HSBC sees S&P 500 hitting 7,500 by end of 2026 with 'more to come' in the AI trade","HSBC sees the S&P 500 climbing to 7,500 by the end of 2026, even as a K-shaped economy reflects a challenged consumer.",success,false,not_relevant,unclear,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,0.0,4.0,This is a broad market outlook piece about the S&P 500 and AI trade with no direct economic implication for DAL or airlines.,gpt-5.4-mini,0.0,2026-06-21T21:17:22+00:00
b86b59f8cffe0fc036f7ab48b150d13d23a86ceaa6990e45b56c394a8d8c7bc5,2026-04-21,Yahoo,1,UAL,airlines_travel__macro_policy,"Trucking stocks have been surging, signaling underlying economic strength","The truck has been backed up on transports, literally.",success,false,not_relevant,unclear,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,0.0,4.0,This is a broad trucking/economic commentary piece with no clear economically meaningful link to UAL or the airline sector.,gpt-5.4-mini,0.0,2026-06-21T21:17:26+00:00
cf96845e12a6f26cfdf318f26b2e579299e8988b51be8a1a2508c6146bfc1afe,2025-09-09,Yahoo,1,AAL,airlines_travel__market_roundup_or_advice,"Palantir Stock Is Rising. Customers Continue to Use the AI Software, Analysts Say.","Palantir  Technologies continued its solid start to the week Tuesday, with the stock climbing for the second consecutive session after a couple of positive research notes from Wall Street firms.  Palantir  stock was rising 1.9% to $159.01, having climbed 2% on Monday.  The company’s profitable growth path and competitive advantage in turning data and artificial intelligence into solutions for customers haven’t gone anywhere, argued Mariana Pérez Mora of  BofA  Securities.",success,false,not_relevant,unclear,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,0.0,5.0,This is a Palantir analyst note with no meaningful connection to the linked airline ticker AAL.,gpt-5.4-mini,0.0,2026-06-21T21:17:29+00:00
719fe6cdc2f82ce13df1f9c37e5559658f8b852891c8daf0baa00b1d98093e21,2025-11-03,Yahoo,1,UAL,airlines_travel__market_roundup_or_advice,3 S&P 500 Stocks We Keep Off Our Radar,"The S&P 500 (^GSPC) is often seen as a benchmark for strong businesses, but that doesn’t mean every stock is worth owning. Some companies face significant challenges, whether it’s stagnating growth, heavy debt, or disruptive new competitors.",success,false,not_relevant,unclear,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,0.0,4.0,This is generic stock-picking advice with only a casual mention of UAL and no economically meaningful news.,gpt-5.4-mini,0.0,2026-06-21T21:17:30+00:00
cfe511fd223e5abda695eeb3418ed134531a8db552ee55dc428035b2a192242c,2026-01-29,Benzinga,1,LUV,airlines_travel__market_roundup_or_advice,"Microsoft Stock's Worst Day Since March 2020, Bitcoin Plunges 5%: What's Moving Markets Thursday?","Volatility returned to Wall Street Thursday, the session after the Federal Reserve meeting, but this time the selloff was less macro-driven and more stock-specific.",success,false,not_relevant,unclear,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,0.0,4.0,"This is a broad market roundup focused on Microsoft and Bitcoin, with no meaningful information about LUV or the airline sector.",gpt-5.4-mini,0.0,2026-06-21T21:17:48+00:00
8c4a862a34d5eda47cf6729e633f0d874c012b7276f202558776e3197e05fa27,2026-05-02,Yahoo,1,AAL,airlines_travel__market_roundup_or_advice,Is American Airlines Group Inc. (AAL) A Good Stock To Buy Now?,"Is AAL a good stock to buy? We came across a bullish thesis on American Airlines Group Inc. on RM Trade Co.’s Substack. In this article, we will summarize the bulls’ thesis on AAL. American Airlines Group Inc.’s share was trading at $11.77 as of April 21st. AAL’s trailing and forward P/E were 72.00 and 7.35 respectively according to Yahoo Finance. […]",success,false,not_relevant,unclear,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,0.0,5.0,"This is a stock-picking article about AAL, which is generic investing advice rather than economically meaningful news.",gpt-5.4-mini,0.0,2026-06-21T21:17:45+00:00
317e4f1745bf371ad8304d30ca4c2b598f807043faa778d6e99f660a1f9bb714,2025-12-18,Yahoo,3,AAL;DAL;UAL,airlines_travel__other_unclear,"SAVE THE DATE FOR AIRLINE DISTRIBUTION® 2026 - REGISTRATION OPEN, SPEAKER AND SPONSORSHIP OPPORTUNITIES AVAILABLE","UATP, the global network that enables organizations to simplify payment processes to expand their payment capabilities, has announced the date and location of its flagship Airline Distribution® conference.",success,false,not_relevant,unclear,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,0.0,5.0,This is just a conference announcement with no economically meaningful news about the airlines.,gpt-5.4-mini,0.0,2026-06-21T21:18:09+00:00
823b117afb55a55f7b83ab72b7b73a7eca29641a57b285eb2b7cf8800c852075,2025-07-31,SeekingAlpha,1,GM,autos_ev__analyst_or_earnings,This Makes No Sense,Equities continue to rally and are hitting all-time highs on a consistent basis despite many valuation metrics flashing yellow. Read the latest analysis on stocks and the market here.,success,false,not_relevant,unclear,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,0.0,5.0,This is a generic market commentary piece with no meaningful GM-specific or industry-specific information.,gpt-5.4-mini,0.0,2026-06-21T21:18:12+00:00
9834fc341f40f9696aa6fcdd5d97f1d6ba2992d05f2a54254eae72db01f72f84,2025-10-17,Yahoo,1,GM,autos_ev__analyst_or_earnings,How to Boost Your Portfolio with Top Auto-Tires-Trucks Stocks Set to Beat Earnings,Investors looking for ways to find stocks that are set to beat quarterly earnings estimates should check out the Zacks Earnings ESP.,success,false,not_relevant,unclear,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,0.0,5.0,"This is a generic stock-picking/earnings-ESP roundup, not substantive news about GM or its industry.",gpt-5.4-mini,0.0,2026-06-21T21:18:30+00:00
c1b67947d341b938bcfa348d6998acd68cde154c56ec48311df32647445b6937,2026-05-08,Yahoo,1,GM,autos_ev__analyst_or_earnings,L.B. Foster and Floor & Decor have been highlighted as Zacks Bull and Bear of the Day,"FSTR surged after a major Q1 earnings beat, strong rail demand and rising backlog fueled optimism for a decade-long breakout.",success,false,not_relevant,unclear,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,0.0,4.0,This is a generic bull/bear roundup about unrelated companies and does not provide meaningful information about GM or its sector.,gpt-5.4-mini,0.0,2026-06-21T21:18:29+00:00
b6e4231ca07e31b77f534a2459aa590f8de880d5ef59a439e6becd43e9cf6fc0,2025-09-07,Yahoo,1,F,autos_ev__firm_event,The Man Whose 1939 Ford Woodie Won a National Award,Raymond Beniquez discusses his 1939 Ford Deluxe Station Wagon and the legacy of wood-bodied vehicles in Puerto Rican history.,success,false,not_relevant,unclear,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,0.0,5.0,This is a historical feature about a classic car and not economically meaningful news about Ford or the auto industry.,gpt-5.4-mini,0.0,2026-06-21T21:18:41+00:00
fc57661624570ea27db42cbe92926055e82c9f2cb2e08d0397aa606a632087d2,2026-04-23,Yahoo,1,TSLA,autos_ev__firm_event,Why Intel Stock Is Gaining Today,Intel is serving up good news for shareholders.,success,false,not_relevant,Intel,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,0.0,5.0,"The article is about Intel, which is unrelated to the linked ticker TSLA and has no clear spillover relevance.",gpt-5.4-mini,0.0,2026-06-21T21:18:52+00:00
6209562f7254f3d5e748560d765cb4bf38a0632764ec60311d9c46de313a28ae,2025-08-29,Yahoo,1,GM,autos_ev__macro_policy,Morning Minute: The US Just Put GDP On-Chain,"It's a watershed moment for crypto, as the U.S. Government begins publishing official economic stats on the blockchain.",success,false,not_relevant,unclear,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,0.0,4.0,This is a generic crypto/macro commentary piece with no clear economic implication for GM or the autos sector.,gpt-5.4-mini,0.0,2026-06-21T21:19:03+00:00
0b0a03868edb59b6397b4665b0c9e53183fdebf88e1519c6fea2f9add374cce4,2025-10-01,Yahoo,1,RIVN,autos_ev__macro_policy,1 Industrials Stock with Impressive Fundamentals and 2 That Underwhelm,"Even if they go mostly unnoticed, industrial businesses are the backbone of our country. Their momentum is also rising as lower interest rates have incentivized higher capital spending. As a result, the industry has posted a 28.1% gain over the past six months, beating the S&P 500 by 9.3 percentage points.",success,false,not_relevant,unclear,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,0.0,4.0,This is a generic industrials market roundup with no meaningful information about Rivian or its EV peers.,gpt-5.4-mini,0.0,2026-06-21T21:19:03+00:00
97ef95784fb014af6b6fa0198a4488cbf79daba894eacb1c089b1ba8cf9f810d,2026-02-18,Benzinga,1,TSLA,autos_ev__macro_policy,"Big Opportunity Ahead in Software - How to Tell Software Stock Winners From Losers, Fed Minutes Ahead",Disruption In Software Creating Opportunities,success,false,not_relevant,unclear,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,0.0,4.0,This is a generic software investing roundup with no meaningful economic news about TSLA or its industry.,gpt-5.4-mini,0.0,2026-06-21T21:19:22+00:00
5b01bf82d9f9bd53489e6a14e981a8974d238ccbbe3bac2628ca0fffa607ffce,2025-08-16,Yahoo,1,GM,autos_ev__market_roundup_or_advice,An Intrinsic Calculation For General Motors Company (NYSE:GM) Suggests It's 39% Undervalued,Key Insights The projected fair value for General Motors is US$92.20 based on 2 Stage Free Cash Flow to Equity General...,success,false,not_relevant,unclear,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,0.0,5.0,"This is an investing valuation/opinion piece about GM, not economically meaningful news.",gpt-5.4-mini,0.0,2026-06-21T21:19:38+00:00
8949fdebdbfb0564e3f5f0b6b18ce480de04e600426d7c99a4801c3ca8d1fc2f,2025-08-18,Yahoo,1,GM,autos_ev__market_roundup_or_advice,Morning Minute: Wall Street Loads Up on Bitcoin,"Institutions are buying up Bitcoin, but the average fund manager is barely allocated to crypto. What does it mean?",success,false,not_relevant,unclear,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,0.0,5.0,This is generic crypto allocation commentary with no clear economic link to GM or the autos sector.,gpt-5.4-mini,0.0,2026-06-21T21:19:21+00:00
4df7524b613fb54a4a56daadc3fbcdd5ceb1d7ca3922b6509dd9baa62508909e,2025-09-25,Yahoo,1,RIVN,autos_ev__market_roundup_or_advice,3 Reasons RIVN is Risky and 1 Stock to Buy Instead,"Over the past six months, Rivian has been a great trade, beating the S&P 500 by 12.9%. Its stock price has climbed to $15.80, representing a healthy 27.8% increase. This performance may have investors wondering how to approach the situation.",success,false,not_relevant,unclear,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,0.0,5.0,"This is generic stock-picking advice about Rivian, not economically meaningful news with spillover implications.",gpt-5.4-mini,0.0,2026-06-21T21:19:25+00:00
3450b22ebaf97c1cc0515a4d4b1b18ca66346db46ed36110a1fe3c50e802e776,2025-10-29,Yahoo,1,F,autos_ev__market_roundup_or_advice,Are Wall Street Analysts Bullish on Ford Motor Stock?,"Ford Motor has underperformed the broader market over the past year, and analysts are cautious about the stock’s prospects.",success,false,not_relevant,unclear,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,0.0,5.0,"This is generic analyst commentary on Ford stock, which is investment advice rather than economically meaningful news.",gpt-5.4-mini,0.0,2026-06-21T21:19:28+00:00
5597bbad360b356d47d1e458a83881186ce1f3d41fee35a8ee5678751cb5fb24,2025-11-05,Benzinga,1,RIVN,autos_ev__market_roundup_or_advice,Rivian's 25% Stock Rally Puts EV ETFs Back In Play—Time to Buy?,"Rivian stock jumped over 25% Wednesday after strong Q3 results, lifting EV ETFs after yesterday&#39;s dip. Is it a good time to buy these funds?",success,false,not_relevant,unclear,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,0.0,4.0,"This is an ETF-buying commentary centered on Rivian’s stock move, not economically meaningful company or industry news.",gpt-5.4-mini,0.0,2026-06-21T21:19:29+00:00
386a047a14a05faadff8c33461a842ad25452bc97769be79ed4322cbc7df829a,2025-11-17,SeekingAlpha,1,TSLA,autos_ev__market_roundup_or_advice,FDIS: Consumer Discretionary Dashboard For November,"Some consumer discretionary stocks are undervalued and high quality. Get sector insights, ETF comparisons, and 10 bargain picks.",success,false,not_relevant,unclear,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,0.0,5.0,This is a generic sector/ETF roundup and investing advice piece with no specific economically meaningful news about TSLA or its competitors.,gpt-5.4-mini,0.0,2026-06-21T21:19:32+00:00
6f39c13a1284d5c8009ba23f311f183f8a1c853e2747098052e2ff2c9439493f,2025-12-09,Yahoo,1,F,autos_ev__market_roundup_or_advice,Is Ford Stock a Buy Now?,Shares of the Detroit car company have significantly outperformed the S&P 500 in 2025.,success,false,not_relevant,Ford,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,0.0,5.0,"This is generic stock-buy advice about Ford, not economically meaningful news.",gpt-5.4-mini,0.0,2026-06-21T21:19:30+00:00
367451747153a15ca5c61d353cbc0a495ce6e88322d90773754c1d56009e4bbc,2025-12-24,Yahoo,1,TSLA,autos_ev__market_roundup_or_advice,"Ranking the Best ""Magnificent Seven"" Stocks to Buy for 2026. Here's My No. 5",This may be a good time to start accumulating shares.,success,false,not_relevant,unclear,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,0.0,5.0,"This is generic stock-picking advice about Magnificent Seven names, not economically meaningful news.",gpt-5.4-mini,0.0,2026-06-21T21:19:31+00:00
eab50e8e5317fdba0b79759e03b39d33abcf9de56b8dd94de7d0e814c1d0dbf8,2026-01-06,Yahoo,1,F,autos_ev__market_roundup_or_advice,Sector Update: Consumer Stocks Rise in Late Afternoon Trading,"Consumer stocks were rising late Tuesday afternoon, with the State Street Consumer Staples Select Se",success,false,not_relevant,unclear,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,0.0,4.0,This is a generic consumer sector market roundup with no clear economically meaningful information about Ford or its competitors.,gpt-5.4-mini,0.0,2026-06-21T21:19:38+00:00
be459db46383e106ec4eb21731c553fdb85370bf2029846cd6aa8a5361a3bd02,2026-01-13,Yahoo,1,F,autos_ev__market_roundup_or_advice,Best Income Stocks to Buy for Jan. 13,"LAND, NABZY and F made it to the Zacks Rank #1 (Strong Buy) income stocks list on Jan.13, 2026.",success,false,not_relevant,unclear,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,0.0,5.0,This is a generic stock-picking/income-stocks roundup with no substantive company-specific news.,gpt-5.4-mini,0.0,2026-06-21T21:19:34+00:00
29ddfbba0c2672bd20cd7da8792f3879096d86fb1348e032c4fab1aa527482b7,2026-01-15,Yahoo,1,F,autos_ev__market_roundup_or_advice,Sector Update: Consumer Stocks Advance in Afternoon Trading,"Consumer stocks rose Thursday afternoon, with the State Street Consumer Staples Select Sector SPDR E",success,false,not_relevant,unclear,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,0.0,4.0,This is a generic sector roundup with no clear economically meaningful information about Ford or its competitors.,gpt-5.4-mini,0.0,2026-06-21T21:19:36+00:00
0a37819cc070394d9cd8e1c20467f2af2d6d45f5d3afba98c644c76d0fcb96a7,2026-03-16,Yahoo,1,F,autos_ev__market_roundup_or_advice,"Down 17.4% in 4 Weeks, Here's Why You Should You Buy the Dip in Ford Motor (F)","Ford Motor (F) is technically in oversold territory now, so the heavy selling pressure might have exhausted. This along with strong agreement among Wall Street analysts in raising earnings estimates could lead to a trend reversal for the stock.",success,false,not_relevant,unclear,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,0.0,5.0,"This is generic buy-the-dip investing advice about Ford, not economically meaningful news.",gpt-5.4-mini,0.0,2026-06-21T21:19:35+00:00
8ed4a3fe870ad11a3bb5332cbe50009fee6d6df4f5e76b549844e71d0a459841,2025-09-01,Yahoo,2,F;GM,autos_ev__other_unclear,How—and Why—U.S. Capitalism Is Unlike Any Other,The main difference between America’s brand of capitalism and elsewhere: a focus on the individual and an incentive to take risks.,success,false,not_relevant,unclear,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,0.0,5.0,"This is a generic commentary on U.S. capitalism with no specific economic event affecting Ford, GM, or their industry.",gpt-5.4-mini,0.0,2026-06-21T21:19:44+00:00
fe0dace706b0ae598e9b6f2d6f33e1f9f7532afe220fb3bb01403c071508b68e,2025-12-21,Yahoo,1,WFC,banks_finance__analyst_or_earnings,GE Vernova (GEV) Gets Higher Price Targets from Wells Fargo and UBS,"GE Vernova Inc. (NYSE:GEV) is one of the 14 Best Large Cap Stocks to Invest In Now. On December 16, Wells Fargo increased its price target on GE Vernova Inc. (NYSE:GEV) from $717 to $831 and kept an Overweight rating. This change reflects stronger sales and profit outlooks in the company’s Power and Electrification segments. […]",success,false,not_relevant,unclear,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,0.0,4.0,"This is a generic stock-picking article about GE Vernova and analyst targets, not meaningful news about the linked bank.",gpt-5.4-mini,0.0,2026-06-21T21:20:22+00:00
