event_type,event_count,share
market_roundup,402,0.297557
macro_rates_tariffs_oil_geopolitics,235,0.173945
earnings_or_guidance,130,0.096225
analyst_rating_or_price_target,125,0.092524
product_or_technology,85,0.062916
legal_regulatory_policy,80,0.059215
partnership_or_contract,65,0.048113
management_or_governance,62,0.045892
demand_sales_or_deliveries,46,0.034049
merger_acquisition_investment,33,0.024426
supply_chain_or_production,24,0.017765
investment_advice_or_etf,23,0.017024
other,23,0.017024
financing_capital_return,18,0.013323
