summary_type,metric,value,share,is_relevant,relevance_type,count,stratum,share_within_stratum,event_type,news_scope,expected_competitor_effect,materiality,confidence
run_totals,total_rows,1250.0,,,,,,,,,,,
run_totals,successful_rows,1250.0,,,,,,,,,,,
run_totals,error_rows,0.0,,,,,,,,,,,
run_totals,total_estimated_cost_usd,0.0,,,,,,,,,,,
relevance_distribution,,,0.256,false,not_relevant,320.0,,,,,,,
relevance_distribution,,,0.0976,true,competitor_company_news,122.0,,,,,,,
relevance_distribution,,,0.0848,true,industry_news,106.0,,,,,,,
relevance_distribution,,,0.0504,true,macro_policy_news,63.0,,,,,,,
relevance_distribution,,,0.2016,true,market_roundup_but_relevant,252.0,,,,,,,
relevance_distribution,,,0.3096,true,target_company_news,387.0,,,,,,,
relevance_type_by_stratum,,,,,competitor_company_news,2.0,airlines_travel__analyst_or_earnings,0.04,,,,,
relevance_type_by_stratum,,,,,industry_news,2.0,airlines_travel__analyst_or_earnings,0.04,,,,,
relevance_type_by_stratum,,,,,market_roundup_but_relevant,9.0,airlines_travel__analyst_or_earnings,0.18,,,,,
relevance_type_by_stratum,,,,,not_relevant,4.0,airlines_travel__analyst_or_earnings,0.08,,,,,
relevance_type_by_stratum,,,,,target_company_news,33.0,airlines_travel__analyst_or_earnings,0.66,,,,,
relevance_type_by_stratum,,,,,competitor_company_news,10.0,airlines_travel__firm_event,0.2,,,,,
relevance_type_by_stratum,,,,,industry_news,8.0,airlines_travel__firm_event,0.16,,,,,
relevance_type_by_stratum,,,,,macro_policy_news,1.0,airlines_travel__firm_event,0.02,,,,,
relevance_type_by_stratum,,,,,market_roundup_but_relevant,3.0,airlines_travel__firm_event,0.06,,,,,
relevance_type_by_stratum,,,,,not_relevant,5.0,airlines_travel__firm_event,0.1,,,,,
relevance_type_by_stratum,,,,,target_company_news,23.0,airlines_travel__firm_event,0.46,,,,,
relevance_type_by_stratum,,,,,competitor_company_news,1.0,airlines_travel__macro_policy,0.02,,,,,
relevance_type_by_stratum,,,,,industry_news,6.0,airlines_travel__macro_policy,0.12,,,,,
relevance_type_by_stratum,,,,,macro_policy_news,5.0,airlines_travel__macro_policy,0.1,,,,,
relevance_type_by_stratum,,,,,market_roundup_but_relevant,17.0,airlines_travel__macro_policy,0.34,,,,,
