summary_type,stratum,publisher,linked_ticker_count,industry_bucket,article_type,ticker_count_bucket,article_count,share_within_group
component_counts,,,,airlines_travel,analyst_valuation,multi_ticker,26,1.0
component_counts,,,,airlines_travel,analyst_valuation,single_ticker,251,1.0
component_counts,,,,airlines_travel,earnings_guidance,multi_ticker,201,1.0
component_counts,,,,airlines_travel,earnings_guidance,single_ticker,991,1.0
component_counts,,,,airlines_travel,investment_advice_etf,multi_ticker,25,1.0
component_counts,,,,airlines_travel,investment_advice_etf,single_ticker,195,1.0
component_counts,,,,airlines_travel,legal_regulatory,multi_ticker,14,1.0
component_counts,,,,airlines_travel,legal_regulatory,single_ticker,65,1.0
component_counts,,,,airlines_travel,macro_policy,multi_ticker,141,1.0
component_counts,,,,airlines_travel,macro_policy,single_ticker,401,1.0
component_counts,,,,airlines_travel,market_roundup,multi_ticker,44,1.0
component_counts,,,,airlines_travel,market_roundup,single_ticker,140,1.0
component_counts,,,,airlines_travel,other_unclear,multi_ticker,340,1.0
component_counts,,,,airlines_travel,other_unclear,single_ticker,168,1.0
component_counts,,,,airlines_travel,product_strategy,multi_ticker,98,1.0
component_counts,,,,airlines_travel,product_strategy,single_ticker,1409,1.0
component_counts,,,,autos_ev,analyst_valuation,multi_ticker,27,1.0
component_counts,,,,autos_ev,analyst_valuation,single_ticker,362,1.0
component_counts,,,,autos_ev,earnings_guidance,multi_ticker,108,1.0
component_counts,,,,autos_ev,earnings_guidance,single_ticker,833,1.0
component_counts,,,,autos_ev,investment_advice_etf,multi_ticker,23,1.0
component_counts,,,,autos_ev,investment_advice_etf,single_ticker,317,1.0
component_counts,,,,autos_ev,legal_regulatory,multi_ticker,20,1.0
component_counts,,,,autos_ev,legal_regulatory,single_ticker,208,1.0
component_counts,,,,autos_ev,macro_policy,multi_ticker,127,1.0
component_counts,,,,autos_ev,macro_policy,single_ticker,609,1.0
component_counts,,,,autos_ev,market_roundup,multi_ticker,35,1.0
component_counts,,,,autos_ev,market_roundup,single_ticker,251,1.0
component_counts,,,,autos_ev,other_unclear,multi_ticker,335,1.0
component_counts,,,,autos_ev,other_unclear,single_ticker,192,1.0
component_counts,,,,autos_ev,product_strategy,multi_ticker,140,1.0
component_counts,,,,autos_ev,product_strategy,single_ticker,3262,1.0
component_counts,,,,banks_finance,analyst_valuation,multi_ticker,36,1.0
component_counts,,,,banks_finance,analyst_valuation,single_ticker,606,1.0
component_counts,,,,banks_finance,earnings_guidance,multi_ticker,248,1.0
component_counts,,,,banks_finance,earnings_guidance,single_ticker,1144,1.0
component_counts,,,,banks_finance,investment_advice_etf,multi_ticker,72,1.0
component_counts,,,,banks_finance,investment_advice_etf,single_ticker,617,1.0
component_counts,,,,banks_finance,legal_regulatory,multi_ticker,42,1.0
component_counts,,,,banks_finance,legal_regulatory,single_ticker,167,1.0
component_counts,,,,banks_finance,macro_policy,multi_ticker,225,1.0
component_counts,,,,banks_finance,macro_policy,single_ticker,722,1.0
component_counts,,,,banks_finance,market_roundup,multi_ticker,100,1.0
component_counts,,,,banks_finance,market_roundup,single_ticker,439,1.0
component_counts,,,,banks_finance,other_unclear,multi_ticker,276,1.0
component_counts,,,,banks_finance,other_unclear,single_ticker,140,1.0
component_counts,,,,banks_finance,product_strategy,multi_ticker,97,1.0
component_counts,,,,banks_finance,product_strategy,single_ticker,2533,1.0
component_counts,,,,big_tech_cloud,analyst_valuation,multi_ticker,54,1.0
component_counts,,,,big_tech_cloud,analyst_valuation,single_ticker,382,1.0
component_counts,,,,big_tech_cloud,earnings_guidance,multi_ticker,124,1.0
component_counts,,,,big_tech_cloud,earnings_guidance,single_ticker,725,1.0
component_counts,,,,big_tech_cloud,investment_advice_etf,multi_ticker,75,1.0
component_counts,,,,big_tech_cloud,investment_advice_etf,single_ticker,500,1.0
component_counts,,,,big_tech_cloud,legal_regulatory,multi_ticker,47,1.0
