group_name,group_value,competitor_abret_spy_t1_count,competitor_abret_spy_t1_mean,competitor_abret_spy_t1_std,competitor_car_abret_spy_0_1_count,competitor_car_abret_spy_0_1_mean,competitor_car_abret_spy_0_1_std,competitor_car_abret_spy_1_3_count,competitor_car_abret_spy_1_3_mean,competitor_car_abret_spy_1_3_std
target_company_sentiment,mixed,428,0.002037,0.02378,432,0.000116,0.039301,428,0.005478,0.03807
target_company_sentiment,negative,1137,0.002362,0.023464,1141,0.000952,0.032557,1137,0.008874,0.042845
target_company_sentiment,neutral,1130,0.002412,0.020785,1153,0.005483,0.032002,1130,0.003299,0.036951
target_company_sentiment,positive,1675,0.001721,0.022469,1706,0.005779,0.036204,1675,0.001819,0.037856
target_company_sentiment,unclear,63,0.0073,0.029169,63,0.012212,0.032555,63,0.001566,0.035603
expected_competitor_effect,negative_for_competitors,113,-0.000857,0.02208,113,-0.00056,0.033525,113,-0.00473,0.039765
expected_competitor_effect,neutral_or_no_clear_effect,1201,0.001189,0.02151,1208,0.002166,0.030515,1201,0.001746,0.038051
expected_competitor_effect,opposite_direction_competition,39,0.007229,0.047664,39,0.012767,0.055012,39,0.008099,0.043214
expected_competitor_effect,positive_for_competitors,60,-7.3e-05,0.017838,60,0.004593,0.034486,60,0.003767,0.042822
expected_competitor_effect,same_direction_contagion,3020,0.002654,0.022552,3075,0.0048,0.035789,3020,0.005696,0.039214
relevance_type,competitor_company_news,550,7.6e-05,0.020086,550,0.001582,0.034788,550,-0.000616,0.034554
relevance_type,industry_news,651,0.006592,0.022247,658,0.006188,0.034658,651,0.008783,0.036114
relevance_type,macro_policy_news,259,0.000766,0.020911,259,0.003725,0.030099,259,0.00451,0.039131
relevance_type,market_roundup_but_relevant,1524,0.002633,0.022063,1548,0.00653,0.036247,1524,0.005193,0.040084
relevance_type,target_company_news,1449,0.000746,0.024061,1480,0.001399,0.033274,1449,0.003345,0.040588
primary_industry,airlines_travel,918,0.0044,0.025339,918,0.005227,0.0397,918,0.004076,0.041609
primary_industry,autos_ev,788,0.002976,0.029111,791,0.005879,0.042853,788,0.004193,0.044803
primary_industry,banks_finance,638,0.00036,0.015678,641,-0.000117,0.023258,638,0.001741,0.022177
primary_industry,big_tech_cloud,773,0.002307,0.015572,805,0.002699,0.025315,773,0.004405,0.031649
primary_industry,macro_market,318,-0.000342,0.02059,334,0.004391,0.029418,318,0.003567,0.042797
primary_industry,other,48,0.002941,0.013516,48,0.007087,0.019635,48,0.004992,0.023064
primary_industry,semiconductors_ai,950,0.001259,0.023002,958,0.004941,0.036887,950,0.006707,0.044629
event_type,analyst_rating_or_price_target,405,0.00208,0.02391,405,0.005442,0.032161,405,0.00235,0.039919
event_type,demand_sales_or_deliveries,148,0.003124,0.031415,148,0.004351,0.041024,148,0.000954,0.036279
event_type,earnings_or_guidance,421,0.000114,0.024326,421,-0.003005,0.038651,421,0.004525,0.043261
event_type,financing_capital_return,57,0.002631,0.023005,57,-0.00067,0.035567,57,0.00091,0.030181
event_type,investment_advice_or_etf,74,0.008459,0.022565,77,0.00608,0.02743,74,2.4e-05,0.038239
event_type,legal_regulatory_policy,251,0.001267,0.019908,259,0.002427,0.02558,251,0.001258,0.033466
event_type,macro_rates_tariffs_oil_geopolitics,738,0.003273,0.023697,750,0.005219,0.037343,738,0.007517,0.040954
event_type,management_or_governance,202,-0.001057,0.016703,202,0.0027,0.029025,202,0.000922,0.038576
event_type,market_roundup,1372,0.001255,0.021013,1400,0.004813,0.034589,1372,0.003832,0.037471
event_type,merger_acquisition_investment,107,0.00331,0.017704,111,0.007506,0.030133,107,0.005511,0.031947
event_type,other,72,0.01193,0.022324,75,0.01613,0.034645,72,0.014922,0.039017
event_type,partnership_or_contract,231,0.002431,0.020426,231,0.002665,0.033119,231,0.006967,0.040663
event_type,product_or_technology,282,0.003414,0.023642,286,0.003039,0.035403,282,0.004379,0.041656
event_type,supply_chain_or_production,73,0.007099,0.026012,73,0.009863,0.030404,73,0.00604,0.041879
sample_definition,sample_broad,4433,0.002171,0.022555,4495,0.004024,0.034612,4433,0.004355,0.039054
sample_definition,sample_strict,2909,0.00193,0.022808,2947,0.002707,0.033652,2909,0.003917,0.038503
sample_definition,sample_very_strict,2219,0.00217,0.0236,2247,0.002433,0.034809,2219,0.004608,0.038966
