sample_name,model_name,formula,cov_type,term,coef,std_err,t_value,p_value,nobs,rsquared
broad,model_sentiment_t1,competitor_abret_spy_t1 ~ C(target_company_sentiment),cluster_article_id,Intercept,0.002037,0.001714,1.188469,0.234649,4433.0,0.000936
broad,model_sentiment_t1,competitor_abret_spy_t1 ~ C(target_company_sentiment),cluster_article_id,C(target_company_sentiment)[T.negative],0.000324,0.002115,0.153417,0.878069,4433.0,0.000936
broad,model_sentiment_t1,competitor_abret_spy_t1 ~ C(target_company_sentiment),cluster_article_id,C(target_company_sentiment)[T.neutral],0.000375,0.001984,0.189034,0.850066,4433.0,0.000936
broad,model_sentiment_t1,competitor_abret_spy_t1 ~ C(target_company_sentiment),cluster_article_id,C(target_company_sentiment)[T.positive],-0.000316,0.001907,-0.165711,0.868385,4433.0,0.000936
broad,model_sentiment_t1,competitor_abret_spy_t1 ~ C(target_company_sentiment),cluster_article_id,C(target_company_sentiment)[T.unclear],0.005263,0.005778,0.910865,0.362366,4433.0,0.000936
broad,model_expected_effect_t1,competitor_abret_spy_t1 ~ C(expected_competitor_effect),cluster_article_id,Intercept,-0.000857,0.002705,-0.316733,0.751446,4433.0,0.001862
broad,model_expected_effect_t1,competitor_abret_spy_t1 ~ C(expected_competitor_effect),cluster_article_id,C(expected_competitor_effect)[T.neutral_or_no_clear_effect],0.002046,0.002848,0.718379,0.472524,4433.0,0.001862
broad,model_expected_effect_t1,competitor_abret_spy_t1 ~ C(expected_competitor_effect),cluster_article_id,C(expected_competitor_effect)[T.opposite_direction_competition],0.008086,0.008747,0.924406,0.355275,4433.0,0.001862
broad,model_expected_effect_t1,competitor_abret_spy_t1 ~ C(expected_competitor_effect),cluster_article_id,C(expected_competitor_effect)[T.positive_for_competitors],0.000784,0.004004,0.195796,0.84477,4433.0,0.001862
broad,model_expected_effect_t1,competitor_abret_spy_t1 ~ C(expected_competitor_effect),cluster_article_id,C(expected_competitor_effect)[T.same_direction_contagion],0.003511,0.002794,1.256716,0.208857,4433.0,0.001862
broad,model_relevance_industry_t1,competitor_abret_spy_t1 ~ C(relevance_type) + C(primary_industry),cluster_article_id,Intercept,0.001648,0.001934,0.851881,0.39428,4433.0,0.01227
broad,model_relevance_industry_t1,competitor_abret_spy_t1 ~ C(relevance_type) + C(primary_industry),cluster_article_id,C(relevance_type)[T.industry_news],0.006186,0.002128,2.907484,0.003643,4433.0,0.01227
broad,model_relevance_industry_t1,competitor_abret_spy_t1 ~ C(relevance_type) + C(primary_industry),cluster_article_id,C(relevance_type)[T.macro_policy_news],0.002428,0.002497,0.972479,0.330812,4433.0,0.01227
broad,model_relevance_industry_t1,competitor_abret_spy_t1 ~ C(relevance_type) + C(primary_industry),cluster_article_id,C(relevance_type)[T.market_roundup_but_relevant],0.003038,0.00153,1.985262,0.047115,4433.0,0.01227
broad,model_relevance_industry_t1,competitor_abret_spy_t1 ~ C(relevance_type) + C(primary_industry),cluster_article_id,C(relevance_type)[T.target_company_news],0.00049,0.001553,0.315447,0.752423,4433.0,0.01227
broad,model_relevance_industry_t1,competitor_abret_spy_t1 ~ C(relevance_type) + C(primary_industry),cluster_article_id,C(primary_industry)[T.autos_ev],-0.000755,0.002126,-0.355163,0.722467,4433.0,0.01227
