sample_name,model_name,formula,cov_type,term,coef,std_err,t_value,p_value,nobs,rsquared
strict,model_sentiment_t1,competitor_abret_spy_t1 ~ C(target_company_sentiment),cluster_article_id,Intercept,0.001096,0.002244,0.488442,0.625237,2909.0,0.001753
strict,model_sentiment_t1,competitor_abret_spy_t1 ~ C(target_company_sentiment),cluster_article_id,C(target_company_sentiment)[T.negative],0.001947,0.002673,0.728309,0.466424,2909.0,0.001753
strict,model_sentiment_t1,competitor_abret_spy_t1 ~ C(target_company_sentiment),cluster_article_id,C(target_company_sentiment)[T.neutral],0.001552,0.002653,0.585016,0.558537,2909.0,0.001753
strict,model_sentiment_t1,competitor_abret_spy_t1 ~ C(target_company_sentiment),cluster_article_id,C(target_company_sentiment)[T.positive],-0.000115,0.002433,-0.047293,0.96228,2909.0,0.001753
strict,model_sentiment_t1,competitor_abret_spy_t1 ~ C(target_company_sentiment),cluster_article_id,C(target_company_sentiment)[T.unclear],0.000532,0.007097,0.07491,0.940286,2909.0,0.001753
strict,model_expected_effect_t1,competitor_abret_spy_t1 ~ C(expected_competitor_effect),cluster_article_id,Intercept,-0.002738,0.002686,-1.019285,0.308068,2909.0,0.003247
strict,model_expected_effect_t1,competitor_abret_spy_t1 ~ C(expected_competitor_effect),cluster_article_id,C(expected_competitor_effect)[T.neutral_or_no_clear_effect],0.003557,0.002846,1.250016,0.211294,2909.0,0.003247
strict,model_expected_effect_t1,competitor_abret_spy_t1 ~ C(expected_competitor_effect),cluster_article_id,C(expected_competitor_effect)[T.opposite_direction_competition],0.007211,0.01189,0.606498,0.544184,2909.0,0.003247
strict,model_expected_effect_t1,competitor_abret_spy_t1 ~ C(expected_competitor_effect),cluster_article_id,C(expected_competitor_effect)[T.positive_for_competitors],0.003853,0.004088,0.942493,0.34594,2909.0,0.003247
strict,model_expected_effect_t1,competitor_abret_spy_t1 ~ C(expected_competitor_effect),cluster_article_id,C(expected_competitor_effect)[T.same_direction_contagion],0.00557,0.002857,1.949796,0.0512,2909.0,0.003247
strict,model_relevance_industry_t1,competitor_abret_spy_t1 ~ C(relevance_type) + C(primary_industry),cluster_article_id,Intercept,0.001524,0.002209,0.689877,0.490272,2909.0,0.015008
strict,model_relevance_industry_t1,competitor_abret_spy_t1 ~ C(relevance_type) + C(primary_industry),cluster_article_id,C(relevance_type)[T.industry_news],0.006227,0.002104,2.959523,0.003081,2909.0,0.015008
strict,model_relevance_industry_t1,competitor_abret_spy_t1 ~ C(relevance_type) + C(primary_industry),cluster_article_id,C(relevance_type)[T.macro_policy_news],0.002663,0.002965,0.897939,0.369218,2909.0,0.015008
strict,model_relevance_industry_t1,competitor_abret_spy_t1 ~ C(relevance_type) + C(primary_industry),cluster_article_id,C(relevance_type)[T.target_company_news],0.000449,0.001592,0.281989,0.777952,2909.0,0.015008
strict,model_relevance_industry_t1,competitor_abret_spy_t1 ~ C(relevance_type) + C(primary_industry),cluster_article_id,C(primary_industry)[T.autos_ev],-0.001095,0.002435,-0.449769,0.652877,2909.0,0.015008
strict,model_relevance_industry_t1,competitor_abret_spy_t1 ~ C(relevance_type) + C(primary_industry),cluster_article_id,C(primary_industry)[T.banks_finance],-0.003096,0.002368,-1.307534,0.191032,2909.0,0.015008
strict,model_relevance_industry_t1,competitor_abret_spy_t1 ~ C(relevance_type) + C(primary_industry),cluster_article_id,C(primary_industry)[T.big_tech_cloud],-0.000504,0.002123,-0.237474,0.812289,2909.0,0.015008
strict,model_relevance_industry_t1,competitor_abret_spy_t1 ~ C(relevance_type) + C(primary_industry),cluster_article_id,C(primary_industry)[T.macro_market],-0.005204,0.003917,-1.328736,0.183935,2909.0,0.015008
strict,model_relevance_industry_t1,competitor_abret_spy_t1 ~ C(relevance_type) + C(primary_industry),cluster_article_id,C(primary_industry)[T.other],0.000111,0.002581,0.04298,0.965718,2909.0,0.015008
strict,model_relevance_industry_t1,competitor_abret_spy_t1 ~ C(relevance_type) + C(primary_industry),cluster_article_id,C(primary_industry)[T.semiconductors_ai],-0.00238,0.002475,-0.961716,0.336192,2909.0,0.015008
strict,model_expected_effect_car01,competitor_car_abret_spy_0_1 ~ C(expected_competitor_effect) + C(primary_industry),cluster_article_id,Intercept,-0.003443,0.005305,-0.649144,0.516246,2947.0,0.003338
