sample_name,model_name,formula,cov_type,term,coef,std_err,t_value,p_value,nobs,rsquared
very_strict,model_sentiment_t1,competitor_abret_spy_t1 ~ C(target_company_sentiment),cluster_article_id,Intercept,-0.000494,0.002465,-0.200371,0.841191,2219.0,0.003297
very_strict,model_sentiment_t1,competitor_abret_spy_t1 ~ C(target_company_sentiment),cluster_article_id,C(target_company_sentiment)[T.negative],0.003915,0.002947,1.328615,0.183975,2219.0,0.003297
very_strict,model_sentiment_t1,competitor_abret_spy_t1 ~ C(target_company_sentiment),cluster_article_id,C(target_company_sentiment)[T.neutral],0.003967,0.003221,1.231502,0.218135,2219.0,0.003297
very_strict,model_sentiment_t1,competitor_abret_spy_t1 ~ C(target_company_sentiment),cluster_article_id,C(target_company_sentiment)[T.positive],0.001744,0.0027,0.645963,0.518304,2219.0,0.003297
very_strict,model_sentiment_t1,competitor_abret_spy_t1 ~ C(target_company_sentiment),cluster_article_id,C(target_company_sentiment)[T.unclear],0.002121,0.007173,0.295756,0.767417,2219.0,0.003297
very_strict,model_expected_effect_t1,competitor_abret_spy_t1 ~ C(expected_competitor_effect),cluster_article_id,Intercept,-0.003746,0.003109,-1.204887,0.228247,2219.0,0.003724
very_strict,model_expected_effect_t1,competitor_abret_spy_t1 ~ C(expected_competitor_effect),cluster_article_id,C(expected_competitor_effect)[T.neutral_or_no_clear_effect],0.004845,0.003427,1.413883,0.157396,2219.0,0.003724
very_strict,model_expected_effect_t1,competitor_abret_spy_t1 ~ C(expected_competitor_effect),cluster_article_id,C(expected_competitor_effect)[T.opposite_direction_competition],0.012274,0.018203,0.674292,0.500126,2219.0,0.003724
very_strict,model_expected_effect_t1,competitor_abret_spy_t1 ~ C(expected_competitor_effect),cluster_article_id,C(expected_competitor_effect)[T.positive_for_competitors],0.004861,0.004378,1.110221,0.266904,2219.0,0.003724
very_strict,model_expected_effect_t1,competitor_abret_spy_t1 ~ C(expected_competitor_effect),cluster_article_id,C(expected_competitor_effect)[T.same_direction_contagion],0.006499,0.003273,1.985442,0.047095,2219.0,0.003724
very_strict,model_relevance_industry_t1,competitor_abret_spy_t1 ~ C(relevance_type) + C(primary_industry),cluster_article_id,Intercept,0.001922,0.002596,0.740394,0.459061,2219.0,0.019167
very_strict,model_relevance_industry_t1,competitor_abret_spy_t1 ~ C(relevance_type) + C(primary_industry),cluster_article_id,C(relevance_type)[T.industry_news],0.006595,0.002331,2.828958,0.00467,2219.0,0.019167
very_strict,model_relevance_industry_t1,competitor_abret_spy_t1 ~ C(relevance_type) + C(primary_industry),cluster_article_id,C(relevance_type)[T.macro_policy_news],0.00323,0.003149,1.025718,0.305025,2219.0,0.019167
very_strict,model_relevance_industry_t1,competitor_abret_spy_t1 ~ C(relevance_type) + C(primary_industry),cluster_article_id,C(relevance_type)[T.target_company_news],0.00065,0.001868,0.347791,0.727997,2219.0,0.019167
very_strict,model_relevance_industry_t1,competitor_abret_spy_t1 ~ C(relevance_type) + C(primary_industry),cluster_article_id,C(primary_industry)[T.autos_ev],-0.00142,0.002887,-0.491994,0.622723,2219.0,0.019167
very_strict,model_relevance_industry_t1,competitor_abret_spy_t1 ~ C(relevance_type) + C(primary_industry),cluster_article_id,C(primary_industry)[T.banks_finance],-0.00377,0.002835,-1.329879,0.183558,2219.0,0.019167
very_strict,model_relevance_industry_t1,competitor_abret_spy_t1 ~ C(relevance_type) + C(primary_industry),cluster_article_id,C(primary_industry)[T.big_tech_cloud],-0.001144,0.002574,-0.444604,0.656606,2219.0,0.019167
very_strict,model_relevance_industry_t1,competitor_abret_spy_t1 ~ C(relevance_type) + C(primary_industry),cluster_article_id,C(primary_industry)[T.macro_market],-0.006348,0.004372,-1.452151,0.14646,2219.0,0.019167
very_strict,model_relevance_industry_t1,competitor_abret_spy_t1 ~ C(relevance_type) + C(primary_industry),cluster_article_id,C(primary_industry)[T.other],0.000151,0.003305,0.045538,0.963678,2219.0,0.019167
very_strict,model_relevance_industry_t1,competitor_abret_spy_t1 ~ C(relevance_type) + C(primary_industry),cluster_article_id,C(primary_industry)[T.semiconductors_ai],-0.004114,0.002815,-1.461601,0.143851,2219.0,0.019167
very_strict,model_expected_effect_car01,competitor_car_abret_spy_0_1 ~ C(expected_competitor_effect) + C(primary_industry),cluster_article_id,Intercept,-0.005168,0.00626,-0.825443,0.40912,2247.0,0.005459
very_strict,model_expected_effect_car01,competitor_car_abret_spy_0_1 ~ C(expected_competitor_effect) + C(primary_industry),cluster_article_id,C(expected_competitor_effect)[T.neutral_or_no_clear_effect],0.00364,0.005463,0.666325,0.505203,2247.0,0.005459
very_strict,model_expected_effect_car01,competitor_car_abret_spy_0_1 ~ C(expected_competitor_effect) + C(primary_industry),cluster_article_id,C(expected_competitor_effect)[T.opposite_direction_competition],0.014689,0.020856,0.704315,0.481237,2247.0,0.005459
very_strict,model_expected_effect_car01,competitor_car_abret_spy_0_1 ~ C(expected_competitor_effect) + C(primary_industry),cluster_article_id,C(expected_competitor_effect)[T.positive_for_competitors],0.008048,0.007489,1.074765,0.28248,2247.0,0.005459
very_strict,model_expected_effect_car01,competitor_car_abret_spy_0_1 ~ C(expected_competitor_effect) + C(primary_industry),cluster_article_id,C(expected_competitor_effect)[T.same_direction_contagion],0.006756,0.005135,1.315572,0.188318,2247.0,0.005459
very_strict,model_expected_effect_car01,competitor_car_abret_spy_0_1 ~ C(expected_competitor_effect) + C(primary_industry),cluster_article_id,C(primary_industry)[T.autos_ev],0.004567,0.004589,0.995282,0.319599,2247.0,0.005459
very_strict,model_expected_effect_car01,competitor_car_abret_spy_0_1 ~ C(expected_competitor_effect) + C(primary_industry),cluster_article_id,C(primary_industry)[T.banks_finance],0.000119,0.004156,0.02852,0.977247,2247.0,0.005459
very_strict,model_expected_effect_car01,competitor_car_abret_spy_0_1 ~ C(expected_competitor_effect) + C(primary_industry),cluster_article_id,C(primary_industry)[T.big_tech_cloud],0.00212,0.004016,0.52789,0.597576,2247.0,0.005459
very_strict,model_expected_effect_car01,competitor_car_abret_spy_0_1 ~ C(expected_competitor_effect) + C(primary_industry),cluster_article_id,C(primary_industry)[T.macro_market],-0.000855,0.005276,-0.162075,0.871247,2247.0,0.005459
very_strict,model_expected_effect_car01,competitor_car_abret_spy_0_1 ~ C(expected_competitor_effect) + C(primary_industry),cluster_article_id,C(primary_industry)[T.other],0.00363,0.004854,0.74785,0.45455,2247.0,0.005459
very_strict,model_expected_effect_car01,competitor_car_abret_spy_0_1 ~ C(expected_competitor_effect) + C(primary_industry),cluster_article_id,C(primary_industry)[T.semiconductors_ai],0.001463,0.004569,0.320175,0.748835,2247.0,0.005459
very_strict,model_expected_effect_car13,competitor_car_abret_spy_1_3 ~ C(expected_competitor_effect) + C(primary_industry),cluster_article_id,Intercept,-0.015078,0.005746,-2.624233,0.008684,2219.0,0.015237
very_strict,model_expected_effect_car13,competitor_car_abret_spy_1_3 ~ C(expected_competitor_effect) + C(primary_industry),cluster_article_id,C(expected_competitor_effect)[T.neutral_or_no_clear_effect],0.019394,0.004953,3.916049,9e-05,2219.0,0.015237
very_strict,model_expected_effect_car13,competitor_car_abret_spy_1_3 ~ C(expected_competitor_effect) + C(primary_industry),cluster_article_id,C(expected_competitor_effect)[T.opposite_direction_competition],0.009981,0.013184,0.757088,0.448997,2219.0,0.015237
very_strict,model_expected_effect_car13,competitor_car_abret_spy_1_3 ~ C(expected_competitor_effect) + C(primary_industry),cluster_article_id,C(expected_competitor_effect)[T.positive_for_competitors],0.017154,0.009996,1.71607,0.086149,2219.0,0.015237
